Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/create_family/,41,0,120.0,157.23650487780105,39.24509999342263,826.2080999993486,0.0,0.0683580782288999,0.0,120,130,150,160,300,420,830,830,830,830,830
GET,/process_family/0046df1d-cf3a-4068-909b-c513fcd1c4ca/,5,0,41,207.147359996452,30.66479999688454,545.3932999953395,5815.0,0.008336351003524377,0.0,41,380,380,550,550,550,550,550,550,550,550
GET,/process_family/0061215e-a903-4807-8b89-1dde0d4baa73/,5,0,190.0,253.4970400040038,88.38980000291485,460.12610000616405,7917.0,0.008336351003524377,0.0,190,340,340,460,460,460,460,460,460,460,460
GET,/process_family/011e913f-6a33-4854-ada4-79afbcfc05f9/,5,0,22,71.96897999674547,18.20249999582302,178.20130000473,5455.0,0.008336351003524377,0.0,22,120,120,180,180,180,180,180,180,180,180
GET,/process_family/0135a029-1840-42d8-9d6d-920297f1f0b8/,4,0,180.0,274.1729250010394,62.55360000068322,646.1552000109805,4892.0,0.006669080802819502,0.0,200,200,650,650,650,650,650,650,650,650,650
GET,/process_family/01972aa5-e525-463e-99e6-0f53e0b56457/,9,0,230.0,349.96503333483514,149.40569999453146,882.7413999970304,9491.0,0.01500543180634388,0.0,230,230,440,660,880,880,880,880,880,880,880
GET,/process_family/01c26205-b353-48c9-aaa6-3ccc4e9e4815/,8,0,38,207.17959999819868,27.18159998767078,659.9544999917271,6278.0,0.013338161605639004,0.0,110,300,460,460,660,660,660,660,660,660,660
GET,/process_family/01ca79a2-580c-4763-a1da-9bf59ba23605/,11,0,220.0,253.38584545534104,85.58450000418816,843.2571999874199,9268.0,0.01833997220775363,0.0,220,260,370,370,390,840,840,840,840,840,840
GET,/process_family/01cf809d-4497-4e28-b5d2-845527788608/,17,0,63,196.43958235632024,30.10470001026988,839.7086000040872,6090.0,0.028343593411982882,0.0,63,120,170,370,830,840,840,840,840,840,840
GET,/process_family/01ff7ce7-91d9-46b9-8153-803a5aad0477/,1,0,517.3191999929259,517.3191999929259,517.3191999929259,517.3191999929259,9900.0,0.0016672702007048755,0.0,520,520,520,520,520,520,520,520,520,520,520
GET,/process_family/025d55ee-44e5-4a4d-936f-dfc06075152d/,1,0,130.13309999951161,130.13309999951161,130.13309999951161,130.13309999951161,4677.0,0.0016672702007048755,0.0,130,130,130,130,130,130,130,130,130,130,130
GET,/process_family/02de7efa-3c2a-4a0c-8c68-c95d1d78b605/,14,0,170.0,277.68397857081646,99.32719999051187,770.995099999709,11953.0,0.023341782809868258,0.0,180,230,380,600,680,770,770,770,770,770,770
GET,/process_family/02fcdb04-b904-4df8-8614-50806ee681ef/,5,0,92,219.87927999871317,28.53809999942314,744.1379999945639,6777.0,0.008336351003524377,0.0,92,160,160,740,740,740,740,740,740,740,740
GET,/process_family/031718a7-8cda-4a70-83be-ed3e5b6fd81f/,16,0,110.0,188.4185625003738,57.76460000197403,589.5684999995865,7615.0,0.026676323211278007,0.0,110,200,220,220,500,590,590,590,590,590,590
GET,/process_family/035bfd45-ad79-42c4-b847-8bdac879dcdd/,2,0,64,176.15700000169454,63.682499996502884,288.6315000068862,4530.0,0.003334540401409751,0.0,290,290,290,290,290,290,290,290,290,290,290
GET,/process_family/03753da3-cb15-4bfe-af61-27c7c02ec09c/,8,0,60,228.5327999979927,42.12299999198876,577.2498000005726,7372.0,0.013338161605639004,0.0,86,450,500,500,580,580,580,580,580,580,580
GET,/process_family/04158637-9c8e-445f-abdf-c5665bb48e76/,7,0,44,171.02628571488563,20.635399996535853,639.5455000019865,5884.0,0.011670891404934129,0.0,44,120,320,320,640,640,640,640,640,640,640
GET,/process_family/047e06c9-e989-4a20-80b4-b43343c5d931/,20,0,80,146.99620000101277,42.21529999631457,547.9970000014873,8111.0,0.03334540401409751,0.0,130,170,170,230,370,550,550,550,550,550,550
GET,/process_family/04c4d18a-6c67-49c7-9728-9fbb0f77f195/,11,0,150.0,214.69905454432592,28.944400008185767,582.7461000008043,6798.0,0.01833997220775363,0.0,150,200,540,540,580,580,580,580,580,580,580
GET,/process_family/04d3a54b-a2a3-44dd-9329-15b8506c9430/,6,0,190.0,310.89106666331645,13.4810000017751,701.1333999980707,4526.0,0.010003621204229252,0.0,310,310,490,490,700,700,700,700,700,700,700
GET,/process_family/04ecd92b-1177-45ee-b8d4-80f9727e79b4/,13,0,230.0,346.51133846021435,83.07809999678284,784.9901000008686,8680.0,0.021674512609163383,0.0,230,480,530,620,650,780,780,780,780,780,780
GET,/process_family/056e9a5e-8282-4245-b62c-d97f2a6bc262/,9,0,66,242.349922226923,21.536600004765205,676.9840000051772,5923.0,0.01500543180634388,0.0,66,220,470,620,680,680,680,680,680,680,680
GET,/process_family/0576963f-4f75-4bdb-8dfa-8fe4fb354557/,7,0,78,98.77884285482911,71.8615000077989,189.6888999908697,8207.0,0.011670891404934129,0.0,78,84,120,120,190,190,190,190,190,190,190
GET,/process_family/058dcb8f-10b0-4187-b246-082ee4f5c8fa/,3,0,250.0,315.2819666720461,99.6517000021413,599.1052000026684,5857.0,0.005001810602114626,0.0,250,250,600,600,600,600,600,600,600,600,600
GET,/process_family/05a71235-4a72-4a7f-8316-26463aa14c37/,12,0,110.0,200.47063333307355,87.45810000982601,497.97850000322796,8861.0,0.020007242408458505,0.0,110,180,350,350,420,500,500,500,500,500,500
GET,/process_family/05be666f-fcd1-473b-b2b0-49367640a77b/,2,0,102.93929999170359,106.63560000102734,102.93929999170359,110.33190001035109,9146.0,0.003334540401409751,0.0,110,110,110,110,110,110,110,110,110,110,110
GET,/process_family/05c3c881-00a4-4832-93a2-0753daf78fa0/,12,0,72,96.77060833443345,26.88200000557117,322.29450000158977,5532.0,0.020007242408458505,0.0,83,93,130,130,200,320,320,320,320,320,320
GET,/process_family/06f5c890-5e80-4e3e-8d6d-f1fb8e398874/,4,0,86,189.27754999822355,83.96269999502692,421.76739999558777,8098.0,0.006669080802819502,0.0,170,170,420,420,420,420,420,420,420,420,420
